label,content_segmented,label1
1,亲爱 爸爸妈妈 ， 遗憾 告诉 您们 ， 钱包 手机 都 不幸 被盗 。 请 您们 早上 650 元 汇款 同学 陈新 农行 卡上 ？ 稍后 当面 会 详细 解释 情况 这笔 款项 用途 。 非常感谢 ！ 请 尽快 这件 事 ， 急需 资金 。,冒充领导、熟人类
1,好友 ， 国外 。 购买 机票 回国 ， 帮 ？ 邮箱 里 转账 钱来 买票 。 机场 ， 时间 很 紧迫 ！ 聪明人 好 朋友 会 帮 ？ ！,冒充领导、熟人类
0,x . x - x 日 女神 节 ， x . x 惠 不停 美丽 人生 ， 做 幸福 女神 空瓶 换购 ， 变废为宝 期待已久 空瓶 换购 ， 更 优惠 特价 产品,
0,尊敬 手机用户 ， 很 推出 PLACE 手机 以旧换新 活动 。 从即日起 ， 只 需 旧 手机 带到 PLACEPLACEDIGIT 营业厅 （ 位于 铁佛 花园 对面 ） ， 即可 参与 此项 优惠 。 活动 中 ， 抵扣 DIGIT 元来 购买 全场 机型 新机 ！ 苹果 、 三星 NAME 热销 机型 更 享受 高达 直降 DIGIT 元 折扣价 ~ 机会 价值 DIGIT 元 缴费卡 g 流量 免费送 出 ! 快 参加 ， 生活 便捷 实惠 . 期待 光临 !,
1,您好 ， 京东 金融 APP 工作人员 。 贷款 申请 成功 审核 ！ 后续 操作 沟通 ， 希望 添加 客服 企业 微 信号 ： xxxxxxxxx 。 扫描 后 下载 登录 京東 金融 APp 平台 操作 即可 放款 。,贷款、代办信用卡类
0,感谢您 邀请 ! 期待 店里 购物 ， 祝 生意兴隆 .,
0,周末 四天 全场 折扣 有折 上 再 9.5 折 ！ 微信 支付 领 现金 可返 元 。 退订 信息 回复 td 即可 。,
0,良渚 文化村 精装 花园 洋房 秋荷坊 三月 开盘 ， 火爆 认筹中 ， 存 x 万减 x 万 ， 开盘 额外 大 优惠,
0,时为 提供 购车 咨询 、 试乘试驾 二手车 免费 评估 服务 ， 请 销售 顾问 【 張聪 】 ： xxxxxxxxxxx ， 感谢您 信任,
0,大杨树 ， 代检车 ， 检证 ， 代办 货运 上岗证 ， 客运 上岗证 ， 检 上岗证 ， 换 新版 上岗证 ， 代理 蒙 E 车辆 全国 违章 ， 代交 罚单 ， 代办 新车 落户 ， 二手车 过户,
0,亲爱 朋友 ， 购买 全友 家居 家具 月 中大促 活动 火热 ！ 享受 最低价 大奖 抽取 。 品牌 实力 保障 最 满意 价格 品质 保证 商品质量 。 办理 优惠 信息 即可 更 惊喜 福利 想 地步 ! 详情请 咨询 客服热线 ： 未来 路 XXX - XXXXXX 查阅 手册 获取 详细 内容 ， 期待 参与 ! 。,
1,XX 家长 你好 ， 小孩 我校 成绩 报告 各科 成绩 都 下滑 ， 还 请 关心 鼓励 ， 成绩 查询 http : / / www . xxxxx 。,冒充领导、熟人类
0,固 PLACE 公里 准现房 首次 开盘 DIGIT ， PLACE 风情节 投资 自住 都 最佳 选择 。,
1,您好 ， 浦发银行 信贷 专员 。 贷款 需求 ， 提供 低利率 、 快速 审批 金融服务 。 APP 申请 ？ 款 方便快捷 地为 提供 服务 体验 个性化 产品 推荐 功能强大 ， 安全可靠 . 点击 链接 下载 注册 登录 后 即可 操作 流程 简单 易用 界面 清晰 美观 支持 多种语言 货币 结算 方式 灵活多样 高效 便捷 随时随地 随心 无需 担保物 抵押品 轻松 借款 额度 高 审核 快到 账 优点 理想 选择 !,贷款、代办信用卡类
0,今晚 户外 大牌 折 满 DIGIT 减 DIGIT 仅剩 ！ 快来 抢 心仪 装备 。 轻便 冲锋衣 、 户外 鞋 背包 等助 轻松 出游 ~ 请 URL 回 TD 退订 即可 更 详情 信息 ~ ~,
0,尊敬 用户 ， 您好 ！ 感谢您 电信 支持 信任 。 很 通知 领取 网龄 券 即将 过期 。 回馈 忠诚度 更好 体验 服务 ， 推出 一项 优惠活动 — — 该券 购买 iPhone 、 魅蓝 Note 畅销 手机 减 现金 g 元 再 送 1GB 省内 流量 立享 换机 优惠 猛 戳 URL 链接 即可 参与 [ 插入 网址 ] 。 希望 这次 活动 需求 提供 更好 服务质量 。 疑问 请 随时 客服热线 XXX - XXXXXX （ 电话号码 ） 。 再次 感谢您 支持 祝您 生活 愉快 ！,
0,请 访问 naturerepublic 旗舰店 快速 购买 任意 商品 即可 蜗牛 面膜 赠品 。 取消 订单 退订 信息 回复 td （ 大写字母 ） 。,
0,亲爱 全家 会员 ， DIGIT 月 全家 疯狂 活动 ！ 当天 首笔 消费 满 DIGIT 元 即可 享受 加赠 等值 积分 优惠 。 参加 疯狂 全家 日 活动 还 额外 花费 DIGIT 元 换购 凯蒂 猫 伞 一把 ~ 数量 有限 售完 为止 ～ 期待 参与 ! 疑问请 回复 信息 客服热线 ： XXX - XXXXXXxxx . 感谢您 支持 理解 ， 祝您 生活 愉快 ! [ 微笑 ],
0,""" NAME 广场 完美 绽放 ！ 哆 a 梦 空降 人体彩绘 视觉 盛宴 。 来访 即可 好礼 机会 赢取 苹果 ! ， 永明 路 万达 东侧 NAME 热线 ! """,
0,格力空调 家用 中央空调 旗舰店 盛大 重装 开业 ！ 价格 清仓 优惠 不 停歇 。 来到 大道 手机店 咨询 购买 详情 电话 即可 退订 回 n 请 回复 需求 信息 ~,
0,亲 ， 尊尚柏丽 美容院 祝您 三 . 八 妇女节 快乐 ! 羊年 大吉 ! 店家 居 产品 x . x 折 特惠,
0,""" 毛坯 价格 买 精装 DIGIT 元起 首付 万 起步 豪 NAMEPLACE 恒大 周年 庆 打折 抄底 天 名盘 名称 电话号码 。 "" 请 一个 简单 示例 。 内容 会 语境 需求 有所不同 。",
0,顺丰 快递 已 到达 ， 请 1 小时 内 凭码 取件 。,
0,水领 一族 美容 养生 好消息 告诉   x . x 活动 买一送一 （ 买 注氧膜 送 防晒霜 ） 绝不会 后悔    注氧膜 效果 改善 暗黄,
1,您好 ， 国家 反诈 中心 工作人员 。 发现 手机号 微信 上 发布 贩卖 口罩 虚假 信息 人 举报 上海 刑警大队 报案 ？ 帮 转接 好 请 先 添加 QQ号 相关 身份证 照片 文书 图片 发给您 更好 情况 电话 打扰到 还 建议您 开启 免 打扰 模式 。,冒充公检法及政府机关类
0,喜迎 三八 ！ 喜迎 三八 ！ 本店 项目 均 享受 x 折 优惠 ！ 快快 参与 ！ 详情 店内 咨询 团结 路 杨青 养生 汗 蒸 ！ 佳丽,
0,亲爱 ， 淘宝 NAME 旗舰店 即将 推出 超低 折扣 品牌 团聚 特惠 活动 ！ 这次 优惠 力度 很大 。 领券后 尊享 折 上 再 打折 福利 划算 ~ 款 内衣 万千 妈妈 好评 之选 ， 有机 棉 材质 内衣 舒适 健康 首选 中意 URLabv 品牌 ～ 快 抢购 !,
0,您好 ！ 欢迎您 老百姓 大 药房 会员 。 NAME 即日起 享受 各项 会员 权益 咨询电话 PHONE 回复 退订 请 1 . 感谢您 支持 信任 !,
0,亲爱 姐 ， 您好 ！ 康之颖 美容 养生 馆 提升 服务 品质 ， 现 荣幸 携手 圣博蜜思 品牌 xxxx 年 全国 招募 xxx 名 品牌 代言人,
0,新春快乐 。 您好 ， 林 教练 ～ 总负责人 。 添加 我微 信号 ： xxxxxxxxx （ 提供 更 优质 服务 ， 教练员 服务 驾校 事情 都 ） 现 活动 季 ： 报名 免费 代办 暂住证 ， 介绍 新 学员 来学车 学费 减免 、 考出 介绍 返 学费 x - xxx 元 话费 现金 银行卡 支付宝 ， 科目 二 科目 三 学车 喔,
0,中通 快递 已 收件 ， 请 查验 。 疑问 客服 123 - 4567890,
0,美丽 女人 节 . 雅馨 美容院 三八 面护 特惠 活动 ： x . 美颜 水润 xD 补水 xx 次,
0,预约 火爆 限量 准现房 豪宅 ！ 最低 数字 元起 首府 买房 还 送 按揭 平米 。 电话 XXXXXXXXX 快来 抢购 !,
0,PLACE 润丰 鸿业 喜迎 隧道 通车 ！ 成交量 翻 三番 热盘别 。 涨价 后悔 不看 就别 买 DIGIT 方 PHONE !,
1,您好 ， 贷款 公司 代表 。 借款 需求 提供 。 利率 低 、 放款 快且 无 前期 费用 手续费 。 只 流程 操作 即可 轻松 需 资金 支持 。 沟通 后续 跟进 服务 ， 请 先 添加 微 信号 : xxxxxxxxx ， 我会 发送 一个 官方 链接 下载 招商 助手 APP 相关 认证 申请 工作 。 疑问 随时欢迎 咨询 ！,贷款、代办信用卡类
0,尊敬 会员 NAME ， 感谢您 支持 ！ 淘鲜生 即将 送 出 大礼 DIGIT 款 年货 礼包 有机 食材 礼箱 一份 。 预定 更 便宜 ~ 疑问 退订 服务 请 回复 PHONELD0com 回 n 即可 办理 相关 业务 .,
0,致电 合易盛 汽贸 ， 公司 专业 代购 品牌 新车 ， 提供 垫资 ， 贷款 ， 上 牌 ， 保险 ， 二手车 置换 ， 代售 ， 抵押 ， 过户,
0,PLACE 日期 日期 PLACE 商场 万人空巷 抢冰洗 震撼 登场 全场 打折 ！ 门店 免费 喝 凉茶 、 吃 免费 冰淇淋 棍儿 。 带来 清凉 一夏 惊喜 回馈 活动 ~ 退订 请 回复 TD .,
1,您好 ， 中通 快递 客服 人员 。 平台 上 留下 包裹 信息 ？ 请问 确认 收到 电话 通知 ？ 请 核实 来电 号码 正确 ， 更好 为您服务 。 。 确保您 账户 保护 隐私 权益 不 受 侵害 ， 请 放心 一个 简单 验证 过程 ！ 会 帮 收取 费用 哒 ！,冒充客服服务
0,""" 爱看 港 囧 大片 ？ 戳 URL 下载 客户端 ， 首页 轮播 活动 页面 输入 暗号 领取 会员 权益 。 中国电信 PLACE 公司 独家 放送 ！ """,
0,您好 ！ 链家 地产 天启 花园 店 张杰 。 买房 、 卖房 ！ 代理 五矿 崇文 金城 、 升龙 天汇 新 楼盘 。 微 信号 ： xxxxxxxxxxx,
0,美 人心 季 ， 交行 缤纷 体验 ！ 金格 、 百盛 、 新世界 、 昆 百大 刷卡 满额 赠礼 、 女人 坊 超低价 写真 套系 、 泰 悠悠 专享 养生 疗程 ； 欢歌 KTVxx 元 买断 包房,
1,你好 ， 某市 公安局 警察 ， 打电话 想 通知 ， 出 证明 ， 配合 工作 。 找到 一个 人 地方 ， 提供 QQ 会议 ， 给定 网址 ， 填写 个人信息 。 会 告诉 涉嫌 金融 诈骗 ， 卡里 钱 转到 一张 钱 卡里 。 请 配合 工作 ， 谢谢 。,冒充公检法及政府机关类
0,双十 倒计时 ， 买 越 送 ！ 事情 说 三遍 ： ~ 链接 ： [ URL ] 回复 n 退订 。,
1,您好 ！ 申通 快递 官方 客服 。 消息 通知 。 包裹 运输 过程 中 新冠 病毒 污染 。 请 放心 ， 一项 特别 服务 保护 健康 。 添加 微信 下载 全视通 APP 语音 通话 相关 手续 赔偿 亲 ~ 银行卡 号 转账 保额 ～,冒充客服服务
1,你好 ， 支付宝 工作人员 。 贷款 利率 高 ， 下调 机会 优惠政策 提供 。 同意 帮 操作 调整 更 低 利息 水平 减轻 还款 压力 节省 费用 支出 。 请 告诉 借款 金额 希望 降低 年 化率 计算 提供 方案 选择 ？,贷款、代办信用卡类
1,您好 ！ 公司 客户服务 代表 。 核实 身份 卡 信息 匹配 ？ 不 提供 相关 信息 配合 工作 流程 ， 不得不 自动 扣款 措施 确保您 名下 账户 安全性 。 建议您 银行卡 内 资金 转移 指定 账号 中 保存 一段时间 保障 财产 权益 不 受损害 ； 希望 尽快 取消 有赞 商城 会员 业务 关联 协助 相关 款项 退回 至原 支付 渠道 后续 处理事务 维护 利益 亲 ~,冒充客服服务
0,尊敬 用户 ， 您好 ！ 感谢您 对咪咕 音乐 关注 支持 。 很 通知 已 成功 领取 两个 月 特级 会员 资格 DIGITm 流量 奖励 （ 到期 自动 取消 ） 。 尊贵 用户 后 ， 登录 网站 URL 下载 安装 最新 咪 咕 音乐 客户端 享受 更 优质服务 权益 保障 。 提醒您 保护 个人隐私 信息 安全性 遵守 相关 法律法规 产品 服务 。 疑问 请 随时 客服 支持 获取 解答 方案 谢谢您 信任 合作 祝您 生活 愉快 工作 顺利 身体健康 万事如意 ！,
0,来到 上海 ， 中国 最 国际化 城市 。,
0,多妙屋 母婴 专营店 聚 划算 品牌 NAME 击穿 底价 全店 买 送 活动 截止 疯 抢 猛 戳 网址 [ URL ] ， 退订 回复 。,
1,"您好 ， 淘宝 客服 。 打电话 是因为 快递 丢失 。 解决 赔偿金 ， 操作 。 下载 一个 名为 "" 会 讯通 "" 软件 视频会议 。 视频 中 会 告诉您 步骤 信息 确保 提供 全额 赔付 。 请 步骤 确保 找到 提供 正确 补偿 方案 ！",冒充客服服务
1,您好 ， 客服 。 发现 购买 一款 商品 尚未 收到 货品 信息 。 商家 支付 商品 款项 已 发货 出库 ， 核实 详细信息 确保 包裹 顺利 送达 。 请 添加 微 信号 ， 视频 通话 方式 查看 订单 状态 提供 更 支持 指导 ； 还 下载 一个 名为 全视 软件 全程 可视化 操作过程 。 支付宝 平台 上 打开 备用金 功能 ， 先 申请 开通 权限 才能 后续 操作 ； 尽快 解决问题 马上转 微信 平台 … …,冒充客服服务
0,一条 尊敬 用户 您好 ！ 假日 出游 时 流量 需求 ， 特别 推出 无限 日 包 。 只 需 发送 编辑 后 短信 zktjr DIGIT 即可 开通 省内 流量 无限 日 包 服务 （ 仅 需 支付 DIGIT 元 ） 。 详情请 咨询 DIGIT 客服热线 登录 URL 查询 办理 。 祝您 旅途愉快 ！,
1,你好 ， 公安局 警察 。 打电话 是因为 涉嫌 参与 跨境 洗钱 案 审查 资金 流水 。 确认 涉及 调查 相关 证据 。 请 三张 卡 定期 取出 存入 社保卡 里 银行卡 里 余额 转账 审核 。 下载 农村 合作 手机 App 视频 通话 云 闪付 App 共享 屏幕 操作 进一步 核查 情况 人脸识别 认证 程序 。 过程 中要 安静 任何人 交流 指示 步骤 确保 顺利进行 后续 工作 审核 完毕 为止 明天 审查 询问 流动资产 状况 请 配合 ！,冒充公检法及政府机关类
0,尊敬 达芙妮 会员 ， 终极 折扣 季来 袭 ！ 全场 商品 低至 DIGIT 元 。 购物 满额 免费送 电影票 千元 礼包 ~ 详细信息 请 门店 咨询 前往 就近 店铺 体验 ! 期待 光临 ! [ 退订 ],
0,富裕 酒楼 招牌 药膳 。 红烧 。 盐 焗 鸽皇 。 滋补 养生 进补 首选 ！ 各式 鸽皇 优惠价 xx 元 只 。 订座 电话 : xxxxxxx 、 xxxxxxxxxxx,
0,PLACE 丽人 官方 旗舰店 超级 大牌 开团 ！ 全场 DIGIT 元 起先 领券 更 优惠 。 手机 下单 抢 DIGIT 名免 单尽 URLayf 退订 回复 。,
0,尊敬 客户 ， 顺丰 快递 已 送达 [ 地址 ] ， 请 尽快 取件 。 疑问 客服 电话 ： XXXXXXXXXXXX,
1,哥哥 ， 听 说 。 钱 转给 朋友 ， 还要 找 借钱 。 微 信号 被盗 ， 一个 号码 语音 电话 确认 身份 事情 真实性 。 请 接听 说 去 做 ！,冒充领导、熟人类
0,""" 亲爱 用户 ， [ NAME 旗舰店 双十 一券 已 存入 账户 ] ， 今晚 记得 准时 抢购 [ DIGIT 点 ] AppleWatch 品牌 车元 秒杀 活动 商品 ！ 猛 戳 URL 退订 。 祝愿 购物 愉快 ！ """,
0,您好 ， 所在 全场 正价 商品 折上 再 减 DIGIT 元 活动 结束 。 请 会员卡 登录 查看 最新 夏装 新品 独享 优惠价格 ！ 疑问 更 信息 ， 随时 ! 感谢您 支持 ~,
0,尊敬 用户 ， 关注 PLACE 联通 微信 公众 平台 ！ 感谢您 支持 喜爱 。 特别 丰厚 福利 大礼 — — 免费送 出 价值 最多 DIGITm 元 流量 电影 券 好 礼 领取 ~ 快 参与 ！ 详情请 咨询 客服 人员 访问 官方网站 更 信息 。 期待 ！,
1,您好 ， 贷款 公司 客服 人员 。 公司 提供 无 抵押 、 低利率 快速 贷款 服务 。 请问 近期 资金 需求 ？ 请 添加 微 信号 详细 申请 操作 流程 指导 。 下载 京东 金融 APP 登录 平台 填写 相关 资料 审核 资质 放款 后续 事宜 操作步骤 注意事项 介绍 听 明白,贷款、代办信用卡类
1,亲爱 父亲 / 母亲 ， 电话 。 紧急情况 支付 补课 费用 ， 学校 主任 QQ 请求 账户 转账 付款 。 细节 都 告诉 ， 请 尽快 款项 汇款 确保 学业 不 受 影响,冒充领导、熟人类
1,儿子 。 学校 里 一个 培训 机会 ， 邀请 清华大学 老师 培训 。 ， 参与 培训 ， 交纳 一笔 培训 费用 。 希望 帮 转账 这笔 费用 。,冒充领导、熟人类
0,您好 ， 新年 喜迎 元旦 ！ 感谢您 支持 回馈 。 参加 抽奖 活动 机会 保暖 衣 、 秋裤 丰厚 奖品 ~ 只 需 消费 DIGIT 元 即可 参与 幸运 大转盘 抽取 ； 预存 惊喜 ： 品牌 内衣 一套 等你拿 双倍 积分 奖励 ~ ~ 快 试试 !,
0,【 中通速运 】 包裹 已派件 ， 请 查收 ！ 疑问 快递 员 。,
1,店 内 一位 顾客 。 一件 事情 。 某种原因 ， 现金 送给 贵店 老板 礼物 。 希望 支持 转交 这份 礼金 店长 。 ， 请 先 代为 转账 ？ 金额 2000 元 人民币 。 随时 手机 方式 操作 通知 一声 即可 。,冒充领导、熟人类
0,圣诞 来临 ， 百盛 送 上 祝福 礼物 ！ 购物 微信 玩游戏 赢 金条 礼券 、 礼品 。 如需 退订 请 回复 退订 。,
0,感恩 相伴 ， DIGIT 减 会员 专属 优惠券 已 入账 。 每日 新品 好货 上架 点击 即享 最低 digit 价格 ！ 今日 内 全场 秒杀 ， 期待 参与 ~ NAME 树 孕育 美丽 智慧 美物 囤积 退订 回 n,
0,亲爱 ， 天气 变化 大 ， 记得 穿衣 保暖 。 保重 身体 ！,
1,您好 ， 浦发银行 工作人员 。 提供 贷款 服务 提供 咨询 申请 贷款 资格 。 确保您 安全性 信任度 ， 微信 提供 指导 下载 官方 APP 浦聊 。 处理过程 中 支付 保证金 确保 信用度 还款 能力 ， 这是 流程 请 放心 操作 转账 指定 账户 ： 电话号码 : xxx - xxxxxxx ； 二维码 链接 客服 聊天 界面 网址 ： ； 扫描 下方 二维码 点击 此处 下载,贷款、代办信用卡类
0,新年好 ， 颐和 温泉 城 新年 一波 优惠 元宵节 当天 购房 享受 xx 折 再 送 x 年 管理费 （ 特价 单位 不 享受 ） 当天,
1,xx 。 南方 航空 预定 回国 机票 ， 订票 张 经理 不上 。 麻烦 帮 我查 行程表 出票 时间 ？ QQ 邮箱 回复 。 谢谢 ！,冒充领导、熟人类
1,你好 ， 朱聃 ， 海信集团 控股公司 总经理 。 想 商谈 国际 收购 事宜 ， 全力 协助 提供 资金 。 请 款项 转账 指定 浙江 稠州 商业 账户 。,冒充领导、熟人类
1,你好 ， 珠海 防疫 部门 工作人员 。 发现 名下 一个 171 开头 电话号码 隔离 。 上海 警方 寻找 号码 主人 黄英 女士 去过 上海 ？ 确认 身份 情况 案件 关联性 不得不 此事 转 交给 相关 机构 进一步 好 明白 谢谢 配合 工作,冒充公检法及政府机关类
0,PLACE 衣舍 周年 庆 火热 中 ， 奢华 豪礼 等你拿 ！ DIGIT 夏装 折起 包邮 百万 人 抢购 。 错过 不再 复速 ~ 回复 退订 信息 即可 。,
0,工商银行 温馨 提示 ： 账户 已 成功 入账 ， 感谢 工行 服务 。,
0,女士 您好 ， 良源 养生 足道 欢度 三八妇女节 ， 凡 x 月 x 日 当天 女士 买单 项目 八折 ， 凡 携 女士 来店 消费 男士 均 选取 精美 礼品 送给,
0,忙 ？ 绿萝路 纤纤 伊人 减肥 养生 中心 三八妇女节 优惠 : 三月 八 曰 期间 本店 产品 xx 折 。 三八 当天 凡 本店 消费 顾客 另加 送 xD 经络 理疗 背,
1,您好 ， 银联 客服 。 一笔 扣款 记录 核实 相关 信息 。 请问 哪张 银行卡 扣除 ？ 确认 误操作 原因 导致 异常 收费 。 尽快 解决 保护 权益 不 受 损失 ， 请 提供 支付宝 内 回执单 证明 材料 后续 工作 。 请 告知 卡号 信息 查询 相关 交易 明细 状态 情况 详细 内容 。 建议您 招商银行 账户 中 资金 转 安全可靠 储蓄 账户 中以 确保 财产 安全性 可靠性 保障 措施 实施 效果 。 感谢您 配合 支持 ！,冒充客服服务
0,亲爱 会员 ， [ DIGIT ] 点聚 划算 明日 即将 开启 性感 前扣 无 钢圈 内衣 限时 抢购 活动 ！ 仅 需元 即可 原价 一千元 优质 商品 。 名额有限 先到 先得 ~ 想要 退订 请 回复 n 。 访问 [ NAME 内衣 旗舰店 ] ， 享受 更 优惠 特权 !,
0,尊敬 用户 ， 您好 ！ 朋友 手机号码 CELLPHONE 流量 汇为 摇奖 。 只 需 轻轻 一晃 即可 参与 抽奖 活动 赚取 免费 流量 币 DIGIT 倍 奖励 。 首次 下载 客户端 登录 送 logincredit （ 可换 logincreditm ） 流量 红包 天天 抢 不停 ； 关注 PLACE 微信 公众 号 每日 更 福利 ~ 快 试试 ！,
0,提前 剧透 亿 红包 全场 满 返利 ！ DIGIT 号点 狂欢 开启 。 点击 我领 红包 ~ 退订 回 T,
0,您好 ！ 武汉 嘉鸿居 房地产 顾问 有限公司 ： 高薪 诚聘 一手 市中心 优质 商住楼 盘 置业 顾问 ！ 请 x 月 x 日 按时 公司 面试 ！ 谢谢 配合 ！ 联系电话 ： xxxxxx,
1,您好 ， 中通 快运 工作人员 。 抱歉 通知 ， 工作人员 操作失误 ， 导致 包裹 。 解决 道歉 ， 提供 理赔 服务 。 请 添加 QQ号 码 ， 会 语音 通话 提供 详细 操作步骤 指导 确保 过程 安全可靠 ！,冒充客服服务
0,店庆 新年 双重 优惠 ， 惊喜 回馈 新老 会员 正式 ！ < > 艾灸 月 卡 只 需 xxx 元 < 二 > 次 月 成功 转 介绍 两位 新 顾客 办理 xxx 元 艾灸 卡 ， 还 享受 艾灸 月 卡 xxx 元 < 三 > 第三个 月 即可 办理 艾灸 年卡 xxxx 元 ， 送 价值 xxx 元 中药 熏蒸 十次 ， 享受 扶阳 坐熏 xxx 元 / xx 次 。 < 四 > 凡店 庆日 （ x 月 x 号 ） 店 送 xx 元 体验 卡注 : 年卡 限量 办理 ， 截止 日期 xxxx 年 x 月底 ， 最终 解释权 本店 。 艾美健 养生 美容 会 恭祝 ， 羊年 快乐 ， 身体健康,
